Anamudi Shola National Park,Kerala,7.5,18,683443563 (iD JOSM history),,check boundary!
Anshi National Park,Karnataka,417.34,394,452258574 (iD JOSM history),,
Balphakram National Park,Meghalaya,220,292,110534256 (iD JOSM history),,
Bandhavgarh National Park,Madhya Pradesh,448.85,502,155471991 (iD JOSM history),,
Bandipur National Park,Karnataka,874.2,958,159049291 (iD JOSM history),,
Bannerghatta National Park,Karnataka,260.51,204,8124064 (iD JOSM history analyse),,
Betla National Park,Jharkhand,226.31,273,667664511 (iD JOSM history),,
Bhitarkanika National Park,Odisha,145,135,8815438 (iD JOSM history analyse),,
Bison (Rajbari) National Park,Tripura,31.63,,,,inside Trishna WLS
Blackbuck National Park Velavadar,Gujarat,39.34,34,143357444 (iD JOSM history),,
Buxa National Park (Tiger Reserve),West Bengal,117.1,143,134485840 (iD JOSM history),,
Campbell Bay National Park,Andaman and Nicobar Islands,426.23,436,158489323 (iD JOSM history),,
Chandoli National Park,Maharashtra,317.67,340,265219891 (iD JOSM history),,
Clouded Leopard National Park,Tripura,5.08,,,,inside Sepahijala WLS
Dachigam National Park,Jammu and Kashmir,141,138,126704884 (iD JOSM history),,
Desert National Park,Rajasthan,3162,3634,8334694 (iD JOSM history analyse),,
Dibru-Saikhowa National Park,Assam,340,283,120851795 (iD JOSM history),,
Dudhwa National Park,Uttar Pradesh,490.29,550,136086033 (iD JOSM history),,
Eravikulam National Park,Kerala,97,117,4148317 (iD JOSM history analyse),,
Galathea National Park,Andaman and Nicobar Islands,110,90,158471348 (iD JOSM history),,
Gangotri National Park,Uttarakhand,2390,2386,2713675 (iD JOSM history analyse),,
Gir National Park,Gujarat,258.7,233,677378085 (iD JOSM history),,
Gorumara National Park,West Bengal,79.45,71,683079843 (iD JOSM history),,
Govind Pashu Vihar Wildlife Sanctuary,Uttarakhand,472.08,395,8777786 (iD JOSM history analyse),,
Great Himalayan National Park,"Himachal Pradesh,",754.4,837,8815513 (iD JOSM history analyse),,
Gugamal National Park,Maharashtra,361.28,418,678195218 (iD JOSM history),,
Guindy National Park,Tamil Nadu,2.82,2.9,25006292 (iD JOSM history),,
Gulf of Mannar Marine National Park,Tamil Nadu,560,477,415570 (iD JOSM history analyse),,
Guru Ghasidas National Park,Chhattisgarh,1440.71,1046,666683432 (iD JOSM history),,
Hemis National Park,Jammu and Kashmir,3350,4669,114783253 (iD JOSM history),,
Inderkilla National Park,Himachal Pradesh,104,112,666695328 (iD JOSM history),,
Indira Gandhi National Park,Tamil Nadu,117.1,102,5573605 (iD JOSM history analyse),,
Indravati National Park,Chhattisgarh,1258.37,1279,2123530 (iD JOSM history analyse),,
Jaldapara National Park,West Bengal,216,243,9462851 (iD JOSM history analyse),,
Corbett National Park,Uttarakhand,520.8,648,126759807 (iD JOSM history),,
